,Consumer Price Index_cleaned,Effective Funds Rate DFF_cleaned,GDP growth_cleaned,Historical Gold Prices_cleaned,M2SL_cleaned,T10Y2Y_cleaned,UMCSENT_cleaned,Unemployment Rate_cleaned,United States uncertainty index_cleaned,US Dollar Index (DXY)_cleaned
Consumer Price Index_cleaned,1.0,0.15706799681106529,0.3748481497812137,0.02745890889146778,-0.2243743860366538,-0.1465270663257246,-0.04957019362213485,-0.11114343532382631,-0.08958349610436599,0.023086800562315178
Effective Funds Rate DFF_cleaned,0.15706799681106529,1.0,0.13141902900592567,-0.009173283421855466,-0.11919610633034551,-0.5527623926392988,0.3824527037892392,-0.2781391157690922,-0.20254787950832587,0.3875532578476089
GDP growth_cleaned,0.3748481497812137,0.13141902900592567,1.0,-0.003725905192689527,-0.3853482830808936,-0.12249372520893197,0.12194925938037937,-0.10723975695439147,-0.09338165764160997,0.10094062972029122
Historical Gold Prices_cleaned,0.02745890889146778,-0.009173283421855466,-0.003725905192689527,1.0,0.00664666712444352,0.009167189608918108,-0.01385091531694565,0.016345982638881883,0.023659032954366895,-0.006540564692770251
M2SL_cleaned,-0.2243743860366538,-0.11919610633034551,-0.3853482830808936,0.00664666712444352,1.0,0.02372406265038799,0.05350095410696156,0.20881556606886312,0.2706467295031633,0.05583484979760538
T10Y2Y_cleaned,-0.1465270663257246,-0.5527623926392988,-0.12249372520893197,0.009167189608918108,0.02372406265038799,1.0,-0.34414046185366226,0.6777709951987446,0.14978044184167397,-0.27007159526516894
UMCSENT_cleaned,-0.04957019362213485,0.3824527037892392,0.12194925938037937,-0.01385091531694565,0.05350095410696156,-0.34414046185366226,1.0,-0.4425358625319374,-0.36343318364245353,0.3686496751845905
Unemployment Rate_cleaned,-0.11114343532382631,-0.2781391157690922,-0.10723975695439147,0.016345982638881883,0.20881556606886312,0.6777709951987446,-0.4425358625319374,1.0,0.37773087451070586,-0.2533102244871939
United States uncertainty index_cleaned,-0.08958349610436599,-0.20254787950832587,-0.09338165764160997,0.023659032954366895,0.2706467295031633,0.14978044184167397,-0.36343318364245353,0.37773087451070586,1.0,0.016370429746701325
US Dollar Index (DXY)_cleaned,0.023086800562315178,0.3875532578476089,0.10094062972029122,-0.006540564692770251,0.05583484979760538,-0.27007159526516894,0.3686496751845905,-0.2533102244871939,0.016370429746701325,1.0
